algorithm,subsampling,feature_selection,imputation_num,imputation_cat,encoding,fold,auc,sen,spec,accu,gmean
LR,down,FFS,Drop,Drop,Label,1,0.621540632,0.566896552,0.605440826,0.600590175,0.585851787
LR,down,FFS,Median,Unknown,Label,1,0.612133587,0.543650794,0.626917623,0.615282245,0.583801561
LR,down,FFS,Median,Missing,Label,1,0.605228508,0.527777778,0.617893516,0.605301098,0.571060826
LR,down,FFS,Median,Mode,Label,1,0.604089138,0.521428571,0.61931159,0.605633803,0.568266449
LR,down,FFS,Median,Drop,Label,1,0.621011758,0.541749503,0.642868253,0.629186281,0.590147064
LR,down,FFS,Drop,Unknown,One-Hot,1,0.6296221,0.55086072,0.619129685,0.610869154,0.58399848
LR,down,FFS,Drop,Missing,One-Hot,1,0.6296221,0.55086072,0.619129685,0.610869154,0.58399848
LR,down,FFS,Drop,Mode,One-Hot,1,0.6296221,0.55086072,0.619129685,0.610869154,0.58399848
LR,down,FFS,Drop,Drop,One-Hot,1,0.603074964,0.511724138,0.636616362,0.620899149,0.570764364
LR,down,FFS,Median,Unknown,One-Hot,1,0.62087761,0.58015873,0.598556143,0.595985361,0.589285645
LR,down,FFS,Median,Missing,One-Hot,1,0.62087761,0.58015873,0.598556143,0.595985361,0.589285645
LR,down,FFS,Median,Mode,One-Hot,1,0.611362241,0.564285714,0.604099523,0.598536098,0.583853347
LR,down,FFS,Median,Drop,One-Hot,1,0.621011758,0.541749503,0.642868253,0.629186281,0.590147064
LR,down,LASSO,Drop,Unknown,Label,1,0.653644111,0.58372457,0.632055149,0.626207158,0.607409351
LR,down,LASSO,Drop,Missing,Label,1,0.652135129,0.599374022,0.641533822,0.636432494,0.620095724
LR,down,LASSO,Drop,Mode,Label,1,0.665964093,0.607198748,0.642180095,0.637947358,0.624444513
LR,down,LASSO,Drop,Drop,Label,1,0.639331434,0.577931034,0.62152502,0.616038882,0.599331793
LR,down,LASSO,Median,Unknown,Label,1,0.651195643,0.593650794,0.625628465,0.621160031,0.609429926
LR,down,LASSO,Median,Missing,Label,1,0.652953502,0.584126984,0.625112801,0.619385605,0.604272501
LR,down,LASSO,Median,Mode,Label,1,0.657358126,0.599206349,0.631558592,0.627037817,0.615169829
LR,down,LASSO,Median,Drop,Label,1,0.649442434,0.568588469,0.641934982,0.63201076,0.604149674
LR,down,LASSO,Drop,Unknown,One-Hot,1,0.662128932,0.602503912,0.637656183,0.633402765,0.6198309
LR,down,LASSO,Drop,Missing,One-Hot,1,0.657071685,0.599374022,0.626023266,0.622798712,0.612553739
LR,down,LASSO,Drop,Mode,One-Hot,1,0.657071685,0.599374022,0.626023266,0.622798712,0.612553739
LR,down,LASSO,Drop,Drop,One-Hot,1,0.638935663,0.577931034,0.615766481,0.611005034,0.596548874
LR,down,LASSO,Median,Unknown,One-Hot,1,0.659822567,0.611904762,0.628464613,0.626150604,0.620129413
LR,down,LASSO,Median,Missing,One-Hot,1,0.660243283,0.601587302,0.63039835,0.626372408,0.61582436
LR,down,LASSO,Median,Mode,One-Hot,1,0.661438209,0.61984127,0.622276653,0.621936342,0.621057768
LR,down,LASSO,Median,Drop,One-Hot,1,0.653955409,0.567594433,0.642090527,0.63201076,0.603694467
LR,down,RF,Drop,Unknown,Label,1,0.645563842,0.579029734,0.627962085,0.62204128,0.602999767
LR,down,RF,Drop,Missing,Label,1,0.628183578,0.582159624,0.60706592,0.604052263,0.594482353
LR,down,RF,Drop,Mode,Label,1,0.642535427,0.579029734,0.636794485,0.629804961,0.60722561
LR,down,RF,Drop,Drop,Label,1,0.628994002,0.580689655,0.607227959,0.603888214,0.593810571
LR,down,RF,Median,Unknown,Label,1,0.644773487,0.592063492,0.619827253,0.615947654,0.605786338
LR,down,RF,Median,Missing,Label,1,0.645680911,0.585714286,0.625886296,0.620272818,0.605467212
LR,down,RF,Median,Mode,Label,1,0.646451643,0.603174603,0.621889906,0.619274703,0.612460772
LR,down,RF,Median,Drop,Label,1,0.633178221,0.578528827,0.610359309,0.606052455,0.594230978
LR,down,RF,Drop,Unknown,One-Hot,1,0.648749696,0.58685446,0.629900905,0.624692293,0.607996838
LR,down,RF,Drop,Missing,One-Hot,1,0.649210549,0.585289515,0.624299871,0.619579625,0.604480081
LR,down,RF,Drop,Mode,One-Hot,1,0.652747689,0.593114241,0.621499354,0.61806476,0.607140937
LR,down,RF,Drop,Drop,One-Hot,1,0.628332831,0.580689655,0.597299444,0.595209165,0.588935997
LR,down,RF,Median,Unknown,One-Hot,1,0.638654999,0.58015873,0.61157664,0.607186426,0.59566058
LR,down,RF,Median,Missing,One-Hot,1,0.636823576,0.581746032,0.606548924,0.603083065,0.594018038
LR,down,RF,Median,Mode,One-Hot,1,0.636980935,0.604761905,0.592368184,0.594100033,0.598532966
LR,down,RF,Median,Drop,One-Hot,1,0.643393489,0.585487078,0.629491367,0.623537323,0.607090653
LR,up,FFS,Drop,Unknown,Label,1,0.625561233,0.528951487,0.639164153,0.625828442,0.581452345
LR,up,FFS,Drop,Missing,Label,1,0.615231145,0.541471049,0.63851788,0.626775232,0.587995702
